iter	Passed	Remaining
0	5	535
1	9	451
2	14	454
3	17	425
4	22	433
5	27	427
6	30	409
7	34	401
8	37	377
9	39	358
10	42	340
11	43	321
12	45	304
13	47	293
14	49	279
15	50	267
16	52	254
17	53	243
18	55	235
19	56	226
20	58	218
21	59	210
22	60	202
23	61	195
24	62	188
25	63	181
26	64	175
27	66	169
28	67	164
29	68	158
30	69	154
31	70	149
32	71	145
33	72	141
34	73	137
35	74	133
36	76	129
37	77	125
38	78	122
39	79	118
40	80	115
41	80	111
42	81	108
43	82	105
44	83	102
45	84	99
46	85	96
47	86	93
48	87	91
49	88	88
50	89	86
51	91	84
52	92	81
53	93	79
54	93	76
55	94	74
56	95	72
57	96	70
58	97	67
59	98	65
60	99	63
61	100	61
62	101	59
63	102	57
64	104	56
65	105	54
66	106	52
67	107	50
68	108	48
69	109	46
70	110	45
71	111	43
72	112	41
73	114	40
74	115	38
75	117	37
76	119	35
77	120	34
78	122	32
79	123	30
80	125	29
81	127	27
82	128	26
83	129	24
84	130	23
85	131	21
86	132	19
87	133	18
88	134	16
89	135	15
90	136	13
91	137	11
92	138	10
93	139	8
94	140	7
95	141	5
96	142	4
97	143	2
98	144	1
99	145	0
